A,1300
А,7398
Б,2780
В,2150
Г,2556
Д,2743
Е,927
Ж,3695
З,2881
И,2638
Й,28
К,3000
Л,2629
М,2492
Н,2130
О,3236
П,3169
Р,2405
С,2183
Т,2480
У,2250
Ф,2079
Х,2886
Ц,2016
Ч,2635
Ш,2947
Щ,1936
Э,3673
Ю,1543
Я,3615
